,5,10,20,50,100
2012-04-27,197390.00000000003,716200.0000000009,458319.99999999953,131799.99999999994,444830.0000000001
2012-04-30,197390.00000000003,716200.0000000009,458199.99999999953,131799.99999999994,444830.0000000001
2012-05-01,197390.00000000003,716200.0000000009,460679.99999999953,131799.99999999994,444830.0000000001
2012-05-02,197390.00000000003,716200.0000000009,458839.99999999953,131799.99999999994,444830.0000000001
2012-05-03,197390.00000000003,716200.0000000009,453519.99999999953,131799.99999999994,444830.0000000001
2012-05-04,197390.00000000003,716200.0000000009,445439.99999999953,131799.99999999994,444830.0000000001
2012-05-07,197390.00000000003,716200.0000000009,444299.99999999953,131799.99999999994,444830.0000000001
2012-05-08,197390.00000000003,716200.0000000009,442419.99999999953,131799.99999999994,444830.0000000001
2012-05-09,197390.00000000003,716200.0000000009,441979.99999999953,131799.99999999994,444830.0000000001
2012-05-10,197390.00000000003,716200.0000000009,442499.99999999953,131799.99999999994,444830.0000000001
2012-05-11,197390.00000000003,716200.0000000009,440659.99999999953,131799.99999999994,444830.0000000001
2012-05-14,197390.00000000003,716200.0000000009,437939.99999999953,131799.99999999994,444830.0000000001
2012-05-15,197390.00000000003,716200.0000000009,436379.99999999953,131799.99999999994,444830.0000000001
2012-05-16,197390.00000000003,716200.0000000009,434059.99999999953,131799.99999999994,444830.0000000001
2012-05-17,197390.00000000003,716200.0000000009,433559.99999999953,131799.99999999994,444830.0000000001
2012-05-18,197360.00000000003,716140.0000000009,433519.99999999953,131739.99999999994,444820.0000000001
2012-05-21,200540.00000000003,722500.0000000009,439879.99999999953,138099.99999999994,445880.0000000001
2012-05-22,197570.00000000006,716560.0000000009,433939.9999999996,132159.99999999997,444890.0000000001
2012-05-23,191720.00000000006,704860.0000000009,422239.9999999996,120459.99999999996,442940.0000000001
2012-05-24,193940.00000000003,709300.0000000009,426679.99999999953,124899.99999999993,443680.0000000001
2012-05-25,194570.00000000006,710560.0000000009,427939.9999999996,126159.99999999997,443890.0000000001
2012-05-29,194390.00000000006,710200.0000000009,427579.9999999996,125799.99999999996,443830.0000000001
2012-05-30,185540.00000000006,692500.0000000009,409879.9999999996,108099.99999999994,440880.0000000001
2012-05-31,181670.00000000003,684760.0000000009,402139.99999999953,100359.9999999999,439590.0000000001
2012-06-01,171800.00000000006,665020.0000000009,382399.9999999996,80619.99999999994,436300.0000000001
2012-06-04,173930.00000000003,669280.0000000009,386659.99999999953,84879.9999999999,437010.0000000001
2012-06-05,174830.00000000003,671080.0000000009,388459.99999999953,86679.99999999988,437310.0000000001
2012-06-06,177110.00000000006,675640.0000000009,393019.9999999996,91239.99999999991,438070.0000000001
2012-06-07,176510.00000000006,674440.0000000009,391819.9999999996,90039.9999999999,437870.0000000001
2012-06-08,174290.0000000001,670000.0000000009,387379.99999999965,85599.99999999993,437130.0000000001
2012-06-11,170120.0000000001,661660.0000000009,379039.99999999965,77259.99999999993,435740.0000000001
2012-06-12,171980.0000000001,665380.0000000009,382759.99999999965,80979.99999999996,436360.0000000001
2012-06-13,169880.0000000001,661180.0000000009,378559.99999999965,76779.99999999994,435660.0000000001
2012-06-14,173780.0000000001,668980.0000000009,386359.99999999965,84579.99999999993,436960.0000000001
2012-06-15,174110.0000000001,669640.0000000009,387019.99999999965,85239.99999999993,437070.0000000001
2012-06-18,174050.0000000001,669510.0000000009,386929.99999999965,85179.99999999993,437060.0000000001
2012-06-19,171800.0000000001,664260.0000000009,384679.99999999965,85179.99999999993,437060.0000000001
2012-06-20,180320.0000000001,684140.0000000009,393199.99999999965,85179.99999999993,437060.0000000001
2012-06-21,190160.0000000001,707100.0000000009,403039.99999999965,85179.99999999993,437060.0000000001
2012-06-22,185420.0000000001,696040.0000000009,398299.99999999965,85179.99999999993,437060.0000000001
2012-06-25,186980.0000000001,699680.0000000009,399859.99999999965,85179.99999999993,437060.0000000001
2012-06-26,186530.00000000012,698630.000000001,399409.99999999965,85179.99999999993,437060.0000000001
2012-06-27,184010.00000000012,692750.000000001,396889.99999999965,85179.99999999993,437060.0000000001
2012-06-28,191540.00000000015,710320.000000001,404419.99999999965,85179.99999999993,437060.0000000001
2012-06-29,169730.00000000012,659430.0000000009,382609.99999999965,85179.99999999993,437060.0000000001
2012-07-02,173390.00000000012,667970.0000000009,386269.99999999965,85179.99999999993,437060.0000000001
2012-07-03,161750.00000000012,640810.0000000009,374629.99999999965,85179.99999999993,437060.0000000001
2012-07-05,163130.00000000015,644030.0000000009,376009.99999999965,85179.99999999993,437060.0000000001
2012-07-06,171350.00000000012,663210.0000000009,384229.99999999965,85179.99999999993,437060.0000000001
2012-07-09,166730.0000000001,652430.0000000009,379609.99999999965,85179.99999999993,437060.0000000001
2012-07-10,172940.00000000012,666920.0000000009,385819.99999999965,85179.99999999993,437060.0000000001
2012-07-11,167270.00000000012,653690.0000000009,380149.99999999965,85179.99999999993,437060.0000000001
2012-07-12,166460.00000000012,651800.0000000009,379339.99999999965,85179.99999999993,437060.0000000001
2012-07-13,163340.0000000001,644520.0000000009,376219.99999999965,85179.99999999993,437060.0000000001
2012-07-16,159410.0000000001,635350.0000000009,372289.99999999965,85179.99999999993,437060.0000000001
2012-07-17,157220.0000000001,630240.0000000009,370099.99999999965,85179.99999999993,437060.0000000001
2012-07-18,157160.0000000001,630110.0000000009,370009.99999999965,85149.99999999993,437030.0000000001
